artist,song,year,tag,views,signified,signifier,line
LiMM,Madagascar,2020,rap,8,ya role,an actor,"Just play ya role like an actor, n****s switch for money, that's a factor"
LiMM,Madagascar,2020,rap,8,my dick,a pogo,Cuz his bitch rode my dick like a pogo and I know
SPIDERONYX,INK DEVIL AND ANIMATRONICS,2022,rap,23,your show,a century old,"Thats a lot of kid and old jokes, coming from a cartoon. isnt your show like a century old? i thinks its time i cancelled you. its black and white im better than your fifty shades of grey i'll send you and your precious ink to flow right down the drain its over Bendy what are we still rapping for? You might as well be dressed up in a nightguard uniform. And we all know what happens with that job like a little ink puddle you cross me bendy, you get stomped"
The Thought,Image of God,2022,rap,2,i'm snapping,a stark,Barking to hearken my art before I'm snapping like a Stark
Fso Br,ETHA,2022,rap,23,passed her,the preacher,Fucked and passed her like the preacher
Fso Br,ETHA,2022,rap,23,passed her,the preacher,Fucked and passed her like the preacher
Scan00,I Like 2 feat. WALKERRR,2021,rap,11,it look,the battle pass,It look like the battle pass
ilysm,​checkout,2021,rap,15,it's,a checkout,It's like a checkout
ilysm,​checkout,2021,rap,15,it's,a checkout,It's like a checkout
ilysm,​checkout,2021,rap,15,you seem,a bonzi,"But your ass so annoying, bitch, you seem like a Bonzi (Haha)"
ilysm,​checkout,2021,rap,15,choppa,a beyblade,"Choppa like a Beyblade, how I let it rip (Real)"
Zorjoke,Everywhere I Go,2022,rap,8,yeah she,my fit,Yeah she like my fit but she think imma weirdo
Zorjoke,Everywhere I Go,2022,rap,8,feelin',the devil had me sign,"Feelin' like the devil had me sign, no matter what I do she's always on my mind"
Geminiapex,OnMe,2022,rap,8,so fast,the flash,I’m so fast like the flash
Psycic,Ghost Town,2022,rap,3,u just,the sound,"U dont care when i rap this nonsense, u just like the sound,man"
Bryann T,Gods World,2018,rap,31,him i,the way that i look,It's because of him I like the way that I look
Bryann T,Gods World,2018,rap,31,word is,a seed in the soil of our faith,God's word is like a seed in the soil of our faith
Bryann T,Gods World,2018,rap,31,it's,a page full of promises i keep feeding my faith,It's like a page full of promises I keep feeding my faith
Bryann T,Gods World,2018,rap,31,him i,the way that i look,It's because of him I like the way that I look
Bryann T,Gods World,2018,rap,31,word is,a seed in the soil of our faith,God's word is like a seed in the soil of our faith
Bryann T,Gods World,2018,rap,31,it's,a page full of promises i keep feeding my faith,It's like a page full of promises I keep feeding my faith
Sunshine Christo,HELGA PATAKI REMIX,2021,rap,8,tongue out,a toad,"Rip your tongue out like a toad, I am on go"
Sunshine Christo,HELGA PATAKI REMIX,2021,rap,8,tongue out,a toad,"Rip your tongue out like a toad, I'm on go"
HitEmUpTy,I Don’t Fuck With Tyler,2022,rap,19,built just,a elephant,You girlfriend fat as hell hoe she built just like a elephant
HitEmUpTy,I Don’t Fuck With Tyler,2022,rap,19,she built,a twig hoe,Fuck cierra too man she built like a twig hoe
HitEmUpTy,I Don’t Fuck With Tyler,2022,rap,19,she just,a pig hoe,And fuck my ex bestie she just like a pig hoe
